fips,lat,lon
001001,32.500194,-086.487813
001003,30.537396,-087.761478
001005,31.843981,-085.301306
001007,33.032236,-087.136826
001009,33.954604,-086.592667
001011,32.115838,-085.702354
001013,31.776019,-086.652400
001015,33.727215,-085.817974
001017,32.856440,-085.259640
001019,34.180501,-085.629887
001021,32.879146,-086.688861
001023,32.016121,-088.262482
001025,31.683493,-087.815868
001027,33.274342,-085.817245
001029,33.625217,-085.495748
001031,31.353217,-085.899556
001033,34.724339,-087.681892
001035,31.416430,-086.997537
001037,32.976884,-086.156212
001039,31.284146,-086.409203
001041,31.747324,-086.296787
001043,34.162652,-086.832690
001045,31.383858,-085.637710
001047,32.411818,-087.035342
001049,34.452725,-085.817465
001051,32.558527,-086.225332
001053,31.085439,-087.280078
001055,34.012182,-086.025892
001057,33.726912,-087.767490
001059,34.463509,-087.793592
001061,31.094511,-085.781426
001063,32.833838,-087.924522
001065,32.783251,-087.627964
001067,31.469275,-085.271132
001069,31.204793,-085.396320
001071,34.727289,-085.943552
001073,33.517206,-086.811606
001075,33.761275,-088.108771
001077,34.865524,-087.608858
001079,34.540863,-087.271580
001081,32.592265,-085.359778
001083,34.803982,-086.922366
001085,32.164241,-086.615186
001087,32.429073,-085.711764
001089,34.742996,-086.615330
001091,32.342372,-087.803475
001093,34.110448,-087.876476
001095,34.311249,-086.291329
001097,30.684049,-088.175178
001099,31.498800,-087.364576
001101,32.346473,-086.233787
001103,34.513887,-086.931981
001105,32.584881,-087.369738
001107,33.284667,-088.074381
001109,31.786041,-085.946994
001111,33.264692,-085.427378
001113,32.414904,-085.054594
001115,33.660943,-086.374875
001117,33.290336,-086.738990
001119,32.571003,-088.230925
001121,33.376936,-086.165876
001123,32.851728,-085.864016
001125,33.214817,-087.518474
001127,33.834217,-087.250515
001129,31.413666,-088.195263
001131,32.007448,-087.376912
001133,34.164369,-087.415624
002013,54.672887,-163.763729
002016,54.024627,-168.148047
002020,61.191547,-149.792287
002050,60.667568,-162.178288
002060,58.733456,-156.833611
002063,60.881369,-146.199156
002066,62.060769,-145.032939
002068,63.864310,-149.027498
002070,59.128804,-158.751320
002090,64.831239,-147.623249
002100,59.234185,-135.497336
002105,58.123876,-135.423534
002110,58.360173,-134.533023
002122,60.283998,-151.068103
002130,55.369105,-131.678418
002150,57.774607,-152.454785
002158,62.076819,-164.340490
002164,58.617154,-156.273390
002170,61.607247,-149.432649
002180,64.431631,-165.269108
002185,70.480816,-155.295377
002188,66.897051,-161.582978
002195,56.795070,-132.943575
002198,55.590770,-132.668824
002220,57.062777,-135.335988
002230,59.465893,-135.310551
002240,63.861551,-144.698751
002275,56.426145,-132.355422
002282,59.545059,-139.714907
002290,64.966051,-152.827744
004001,35.543654,-109.419015
004003,31.603486,-110.072835
004005,35.476113,-111.601825
004007,33.844439,-111.015003
004009,32.867145,-109.808107
004011,32.985155,-109.259546
004012,33.954185,-114.183775
004013,33.490147,-112.044016
004015,35.034511,-114.262415
004017,34.862151,-110.205157
004019,32.216427,-110.958030
004021,33.069323,-111.602135
004023,31.439234,-110.945948
004025,34.628734,-112.273841
004027,32.641391,-114.605444
005001,34.403488,-091.460834
005003,33.179590,-091.877908
005005,36.331791,-092.383935
005007,36.335056,-094.230342
005009,36.266608,-093.098769
005011,33.574422,-092.101277
005013,33.585989,-092.500683
005015,36.375744,-093.574712
005017,33.325951,-091.318357
005019,34.099325,-093.123962
005021,36.370287,-090.366417
005023,35.507218,-092.037753
005025,33.912967,-092.136375
005027,33.258766,-093.247178
005029,35.212990,-092.705923
005031,35.835762,-090.669235
005033,35.494096,-094.285922
005035,35.176704,-090.213521
005037,35.251667,-090.777424
005039,33.864882,-092.525216
005041,33.768029,-091.415165
005043,33.627329,-091.784085
005045,35.105697,-092.406071
005047,35.442155,-093.891039
005049,36.375654,-091.766807
005051,34.505767,-093.080729
005053,34.311672,-092.412583
005055,36.071536,-090.522562
005057,33.698177,-093.620782
005059,34.353569,-092.895511
005061,33.981466,-093.908938
005063,35.750729,-091.607338
005065,36.121500,-091.911716
005067,35.623062,-091.246504
005069,34.234814,-092.045118
005071,35.476548,-093.473125
005073,33.278875,-093.557713
005075,36.070844,-091.064441
005077,34.787429,-090.769631
005079,33.973433,-091.745899
005081,33.700349,-094.198663
005083,35.227664,-093.768311
005085,34.916983,-091.973917
005087,36.062896,-093.757685
005089,36.284395,-092.660219
005091,33.402394,-093.987198
005093,35.843368,-090.001606
005095,34.777063,-091.221516
005097,34.514568,-093.622447
005099,33.725543,-093.359433
005101,35.982591,-093.165658
005103,33.573847,-092.838686
005105,34.998711,-092.777667
005107,34.530919,-090.703802
005109,34.186355,-093.626194
005111,35.604751,-090.558401
005113,34.522847,-094.257930
005115,35.309054,-093.096833
005117,34.863817,-091.540516
005119,34.775246,-092.315081
005121,36.302137,-090.989599
005123,35.016355,-090.774948
005125,34.596991,-092.546119
005127,34.904224,-094.097007
005129,35.923072,-092.660663
005131,35.318718,-094.354788
005133,34.015316,-094.303780
005135,36.178093,-091.519530
005137,35.855715,-092.133812
005139,33.207421,-092.651980
005141,35.568095,-092.420130
005143,36.095920,-094.172336
005145,35.239408,-091.773595
005147,35.233161,-091.251021
005149,35.127752,-093.282930
006001,37.706599,-122.098766
006003,38.728485,-119.847822
006005,38.395906,-120.778038
006007,39.658926,-121.726510
006009,38.157342,-120.645222
006011,39.153446,-122.083801
006013,37.935010,-122.024961
006015,41.790833,-124.164236
